1	661	201812	203	4
2	7	201812	70	4
3	25	201901	6	4
4	193	201812	149	4
5	157	201810	785	4
6	63	201812	101	4
7	409	201901	14	4
8	24	201812	102	5
9	376	201901	35	4
10	174	201812	96	4
11	128	201812	140	4
12	81	201812	30	5
13	129	201901	18	4
14	3	201901	24	1
15	57	201812	39	4
16	799	201810	179	4
17	12	201812	308	1
18	516	201811	180	4
19	1011	201810	329	4
20	6	201812	96	3
21	23	201812	31	4
22	1966	201810	208	4
23	179	201811	159	4
24	400	201811	261	4
25	373	201901	6	4
26	131	201811	209	3
27	1	201901	31	1
28	34	201812	389	4
29	132	201811	125	4
30	0	201812	1	5
31	74	201812	57	4
32	1371	201808	935	4
33	707	201806	475	4
34	866	201810	207	4
35	257	201812	26	3
36	92	201811	58	4
37	10	201812	77	4
38	494	201811	206	4
39	278	201811	39	3
40	110	201812	117	4
41	57	201812	100	4
42	68	201812	47	4
43	6	201901	4	1
44	31	201812	22	3
45	594	201807	440	4
46	0	201901	25	4
47	176	201810	306	4
48	21	201812	44	4
49	349	201810	152	4
50	60	201812	67	5
51	159	201901	16	1
52	147	201811	405	4
53	462	201812	33	4
54	1025	201808	3474	4
55	1176	201810	447	4
56	22	201812	91	4
57	15	201812	906	3
58	0	201901	9	1
59	37	201812	232	1
60	2	201812	41	4
61	1778	201810	154	4
62	73	201812	95	4
63	0	201812	18	5
64	304	201810	378	4
65	43	201811	87	4
66	1824	201811	361	4
67	9	201811	28	5
68	316	201811	42	4
69	104	201811	614	4
70	74	201812	165	4
71	1979	201412	1165	4
72	27	201812	39	4
73	415	201811	238	4
74	21	201812	65	4
75	82	201812	5656	4
76	443	201808	588	4
77	341	201810	157	4
78	10	201812	146	1
79	525	201810	111	4
80	82	201811	434	4
81	28	201809	119	5
82	0	201901	41	4
83	39	201811	117	4
84	8	201812	312	4
85	285	201811	162	4
86	4	201812	41	4
87	1	201812	57	4
88	902	201809	2071	4
89	12	201901	27	4
90	31	201811	157	4
91	609	201811	337	4
92	101	201811	118	4
93	241	201810	156	4
94	90	201812	1037	1
95	0	201901	14	4
96	16	201812	767	4
97	64	201811	160	4
98	11	201812	20	4
99	354	201811	187	4
100	123	201811	28	4
101	109	201811	513	4
102	103	201810	287	4
103	373	201807	171	4
104	28	201901	25	4
105	82	201811	184	4
106	57	201812	36	4
107	30	201901	3	4
108	1	201901	6	4
109	181	201811	3614	4
110	797	201809	1916	4
111	7	201901	36	3
112	0	201812	44	4
113	42	201812	158	4
114	317	201811	928	4
115	28	201812	89	4
116	31	201812	22	4
117	23	201810	36	5
118	71	201810	203	4
119	11	201812	31	4
120	324	201811	290	4
121	313	201810	216	4
122	885	201811	73	4
123	319	201810	924	4
124	421	201808	236	4
125	2318	201709	1710	4
126	48	201812	125	1
127	30	201812	27	4
128	216	201810	737	4
129	0	201812	75	3
130	4	201901	19	5
131	297	201811	215	4
132	1369	201810	365	4
133	97	201811	753	4
134	7	201901	4	1
135	141	201810	201	4
136	12	201812	37	4
137	514	201806	370	4
138	44	201812	1152	3
139	26	201811	174	3
140	13	201812	163	4
141	13	201811	313	4
142	15	201812	312	4
143	8	201812	199	4
144	55	201812	19	5
145	168	201812	100	4
146	19	201812	866	1
147	105	201811	1765	3
148	33	201901	129	3
149	2338	201811	22	1
150	110	201811	114	4
151	2548	201706	16878	4
152	55	201901	6	3
153	44	201812	117	4
154	31	201901	26	4
155	115	201811	56	4
156	42	201811	79	4
157	32	201811	170	4
158	4	201901	6	1
159	448	201810	346	4
160	413	201810	973	3
161	7	201812	44	3
162	2757	201810	4477	4
163	732	201810	1069	4
164	174	201811	100	4
165	90	201812	35	4
166	378	201810	638	4
167	64	201812	23	4
168	22	201812	1991	3
169	93	201811	116	4
170	52	201811	295	4
171	11	201810	59	5
172	59	201812	100	4
173	326	201811	1426	3
174	22	201812	84	4
175	46	201901	1	4
176	151	201811	139	4
177	179	201810	812	4
178	80	201811	420	4
179	1144	201806	3046	4
180	191	201811	228	4
181	2170	201809	200	4
182	30	201812	122	3
183	7	201901	2	4
184	134	201808	500	4
185	6	201812	46	1
186	60	201805	300	1
187	1725	201811	54	4
188	24	201812	25	4
189	27	201812	83	4
190	43	201812	510	4
191	17	201901	53	4
192	624	201809	966	4
193	0	201901	0	4
194	234	201811	99	4
195	15	201812	129	1
196	67	201812	334	4
197	36	201811	385	4
198	424	201811	93	4
199	52	201811	480	1
200	19	201901	22	1
201	7	201812	16	4
202	756	201810	122	4
203	2	201812	14	3
204	32	201811	214	3
205	118	201810	974	1
206	109	201812	14	4
207	11	201901	16	3
208	22	201812	31	1
209	1082	201811	10	1
210	1376	201811	71	4
211	354	201810	344	4
212	1	201812	27	1
213	0	201901	18	4
214	16	201810	59	3
215	420	201811	29	5
216	33	201811	66	3
